id,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8134696,1000,APARTMENT,APARTMENT,293000,2,90,1,0,0,1,15,0,0,0,,0,AS_NEW
9273048,2060,APARTMENT,APARTMENT,275000,2,96,1,0,0,1,6,0,0,0,2,0,AS_NEW
9338602,5300,HOUSE,HOUSE,175000,2,90,1,0,0,1,0,1,200,404,3,0,GOOD
9369873,2800,APARTMENT,APARTMENT,565000,3,167,1,0,0,1,26,0,0,0,,0,AS_NEW
9430180,1450,APARTMENT,TRIPLEX,375000,4,151,1,0,0,0,0,1,85,0,3,0,GOOD
9385756,4052,APARTMENT,PENTHOUSE,360481,3,125,1,0,0,1,10,0,0,0,4,0,GOOD
9247109,2200,HOUSE,HOUSE,429900,3,273,1,0,0,0,0,0,0,960,3,0,GOOD
9416148,2500,HOUSE,HOUSE,184000,2,,0,0,1,0,0,0,0,50,2,0,TO_RENOVATE
9436641,2650,HOUSE,HOUSE,695000,2,191,0,0,0,1,36,1,165,250,2,0,AS_NEW
9366652,8400,APARTMENT,DUPLEX,359000,2,105,1,0,0,1,6,0,0,0,2,0,GOOD
9333347,8420,APARTMENT,APARTMENT,181500,2,,0,0,0,0,0,0,0,0,2,0,GOOD
9414260,6700,HOUSE,APARTMENT_BLOCK,525000,4,215,1,0,0,0,0,0,0,0,2,0,GOOD
8921939,1080,APARTMENT,APARTMENT,199000,2,100,1,0,0,1,2,0,0,0,2,0,GOOD
9214537,1020,APARTMENT,GROUND_FLOOR,229000,2,65,1,0,0,1,6,1,53,0,2,0,GOOD
9326812,6600,HOUSE,HOUSE,350000,4,,1,0,0,1,0,0,0,730,3,0,AS_NEW
9186141,1190,APARTMENT,GROUND_FLOOR,199000,2,,1,0,0,0,0,0,0,0,3,0,GOOD
8670119,2650,APARTMENT,APARTMENT,352063,2,105,0,0,0,1,28,1,1500,0,2,0,AS_NEW
8859995,8860,HOUSE,HOUSE,275000,3,185,1,0,0,1,17,0,0,0,2,0,AS_NEW
9424827,8490,HOUSE,HOUSE,399620,4,175,0,0,0,0,0,0,0,402,3,0,AS_NEW
9300972,4950,HOUSE,EXCEPTIONAL_PROPERTY,560000,5,270,1,0,1,1,59,1,600,985,4,1,AS_NEW
9195665,2610,APARTMENT,APARTMENT,469000,3,215,1,0,0,0,0,0,0,0,2,0,AS_NEW
9350834,7740,HOUSE,HOUSE,150000,2,,1,0,0,1,0,0,0,0,2,0,GOOD
9405785,2845,HOUSE,HOUSE,420000,3,240,1,0,0,1,0,1,235,355,2,0,JUST_RENOVATED
8713531,1932,APARTMENT,APARTMENT,369000,3,130,1,0,0,1,9,0,0,0,2,0,AS_NEW
9415428,8800,HOUSE,HOUSE,138000,4,148,0,0,0,1,0,0,0,190,,0,TO_RENOVATE
9428939,9000,APARTMENT,APARTMENT,350000,3,114,1,0,0,1,8,0,0,0,4,0,AS_NEW
9349757,1030,HOUSE,APARTMENT_BLOCK,1075000,6,400,1,0,0,1,0,0,0,0,2,0,TO_BE_DONE_UP
9428062,2170,HOUSE,HOUSE,255000,4,220,0,0,0,0,0,1,4,136,2,0,TO_RENOVATE
9370914,1430,HOUSE,MANSION,320000,4,226,1,0,0,1,25,1,200,380,2,0,AS_NEW
9400561,7522,HOUSE,HOUSE,185000,2,100,1,0,0,0,0,1,0,340,3,0,TO_BE_DONE_UP
